month,ratio_quantity.practice_data_trimethoprim
1370044800,0.647342178457206
1372636800,0.6474869468909867
1375315200,0.6460342391101644
1377993600,0.6491660526771681
1380585600,0.651306675615876
1383264000,0.6480272165290628
1385856000,0.6450702569228056
1388534400,0.6512516667724935
1391212800,0.6459093944160885
1393632000,0.6461002033600284
1396310400,0.6503833972515539
1398902400,0.6509636618290241
1401580800,0.6481049960081265
1404172800,0.64653870250258
1406851200,0.6403576181685485
1409529600,0.6463055757563683
1412121600,0.6449714294527256
1414800000,0.6433529553689433
1417392000,0.6318104687920297
1420070400,0.6273280624565815
1422748800,0.6221513033223354
1425168000,0.625335023766555
1427846400,0.6223344229994179
1430438400,0.6183999489675033
1433116800,0.6148123076272173
1435708800,0.6087977924476576
1438387200,0.6008144421942031
1441065600,0.6034697840965567
1443657600,0.5962842443601915
1446336000,0.5915694515633009
1448928000,0.5891507773742506
1451606400,0.5963004400686208
1454284800,0.5908875658129814
1456790400,0.5860648404460228
1459468800,0.5793640632116718
1462060800,0.5733901800817396
1464739200,0.5701404305205657
1467331200,0.5654385283339808
1470009600,0.5595293661233323
1472688000,0.5586218246592317
1475280000,0.5553737253817757
1477958400,0.5511775444177346
1480550400,0.5429234291279059
1483228800,0.5422735142320284
1485907200,0.5315288008290895
1488326400,0.5194597406676679
1491004800,0.5003132862048844
1493596800,0.4791405941951964
1496275200,0.45310546842447375
1498867200,0.4297042211961649
1501545600,0.41278743123678796
1504224000,0.4042698569213333
1506816000,0.38774970552176735
1509494400,0.38067282308177186
1512086400,0.3747589327402609
1514764800,0.3675428104074017
1517443200,0.3623470516328075
1519862400,0.3567994993884575
1522540800,0.3497760314702147
1525132800,0.34229073803905224
1527811200,0.33186681242271643
